1.40172，4.50498，0.429472,1.92698，3.59722，0.02778,1.77864，4.96107，-0.235518
2.76723，5.50738，0.365748,1.40172，4.50498，0.429472,1.77864，4.96107，-0.235518
1.80366，3.74559，-0.262412,2.76723，5.50738，0.365748,1.72707，3.74201，-0.262707
1.73309，3.82346，0.032679,1.72707，3.74201，-0.262707,1.65447，3.82387，-0.260545
2.56967，5.14726，0.068819,1.65447，3.82387，-0.260545,1.32752，4.16292，-0.402869
2.94749，5.54132，-0.213602,1.32752，4.16292，-0.402869,0，0，0
1.32752，4.16292，-0.402869,1.08173，4.03256，-0.40763,0，0，0
2.94749，5.54132，-0.213602,2.56967，5.14726，0.068819,1.32752，4.16292，-0.402869
1.23724，3.70389，0.363225,2.56967，5.14726，0.068819,2.94749，5.54132，-0.213602
1.47792，4.41428，-0.395925,1.65346，3.91007，-0.409059,2.20575，5.23452，-0.222921
1.47927，4.41171，-0.246626,1.54273，4.39548，0.046696,1.47792，4.41428，-0.395925
1.60035，4.62805，0.052822,1.47927，4.41171，-0.246626,1.51069，4.53454，-0.242786
1.55109，4.65532，-0.239585,1.60035，4.62805，0.052822,1.51069，4.53454，-0.242786
1.64967，4.73727，0.055748,1.55109，4.65532，-0.239585,1.61163，4.76811，-0.24426
1.6187，4.03507，0.038985,1.61163，4.76811，-0.24426,1.69891，4.8668，-0.240115
1.87678，5.00522，0.063238,1.69891，4.8668，-0.240115,1.62264，3.906，-0.281405
1.87648，5.01394，-0.229945,1.62264，3.906，-0.281405,1.85273，5.05241，-0.235336
2.03712，5.10345，0.066205,1.85273，5.05241，-0.235336,1.93384，5.11759，-0.226682
2.03738，5.11222，-0.226976,1.93384，5.11759，-0.226682,2.01779，5.16472，-0.225238
2.1218，5.13589，0.067266,2.01779，5.16472，-0.225238,2.10602，5.20331，-0.224002
2.1218，5.13589，0.067266,2.10602，5.20331，-0.224002,2.7961，5.49983，-0.226754
1.6736，3.9015，0.034529,2.1218，5.13589，0.067266,2.7961，5.49983，-0.226754
2.33027，5.16976，0.068716,1.6736，3.9015，0.034529,2.7961，5.49983，-0.226754
2.89653，4.99667，0.065881,2.6884，5.12552，-0.224803,1.33885，4.94479，0.839269
1.92612，3.5893，0.361369,1.42985，3.59561，0.026318,1.79068，4.92326，0.349354
1.42864，3.58636，0.360831,1.92612，3.5893，0.361369,2.2041，5.21968，0.357652
1.73193，3.81568，0.328592,1.42864，3.58636，0.360831,2.2041，5.21968，0.357652
1.65282，3.80902，0.320027,1.57775，3.88578，0.471252,1.73193，3.81568，0.328592
1.5825，4.15249，0.479414,1.07923，4.01001，0.474334,1.65282，3.80902，0.320027
1.61465，4.02303，0.476194,1.6617，5.36128，-0.713128,2.83405，5.81735，0.375202
1.5825，4.15249，0.479414,1.61465，4.02303，0.476194,2.83405，5.81735，0.375202
2.83405，5.81735，0.375202,1.56598，4.51296，0.049769,1.5825，4.15249，0.479414
1.07509，4.45032，0.485504,2.10437，5.18847，0.356571,1.47543，4.39178，0.484391
1.17771，3.78821，0.318591,1.47543，4.39178，0.484391,1.56423，4.50582，0.338037
1.15977，4.60762，0.339486,1.56423，4.50582，0.338037,1.59723，4.62157，0.341096
1.24717，4.76012，0.343631,1.59723，4.62157，0.341096,1.54944，4.64048，0.34099
1.3407，4.91034，0.347735,1.54944，4.64048，0.34099,1.71167，4.83251，0.346812
1.69671，4.84875，0.356291,1.3407，4.91034，0.347735,1.71167，4.83251，0.346812
1.62086，3.88999，0.344872,1.44395，5.05481，0.351718,1.69671，4.84875，0.356291
1.95513，5.05558，0.353204,1.56053，5.1901，0.355508,1.62086，3.88999，0.344872
